,D_15min,D_30min,D_45min,D_1h,D_2h,D_3h,D_6h,D_12h,D_24h
0,16.88185435642103,23.775550659246747,29.048292719654498,33.48428420337629,42.23942327651416,48.386835357206195,61.03854594144039,76.99830053238784,97.13105372077291
1,25.406893435956768,35.78178494064059,43.71716886326715,50.39325790717389,63.56958799223881,72.8213348882574,91.86193646020166,115.88108599172193,146.18052490585785
2,30.64548770572423,43.15955641138681,52.73112056400735,60.783738458165885,76.67686851148265,87.83621376843391,110.80275719309395,139.77436497842163,176.32118189147994
3,34.70593262124815,48.878081861844876,59.717852589290445,68.83742075354978,86.83634790614705,99.47427647507804,125.48382529652939,158.29409339805474,199.6832655164927
4,38.14408515500155,53.72020216537538,65.63381769044082,75.65681832351929,95.43881402724543,109.32872238317289,137.91491414225004,173.9755402628918,219.46494183033872
5,41.197114742288534,58.01993477082297,70.88710890246615,81.7123444655957,103.0776791833168,118.07932743294023,148.95354075220618,187.90043765467522,237.03078350821642
6,43.99050688648312,61.95400712053373,75.69364679647923,87.25289317979036,110.06691571295468,126.0857586528522,159.05341432806296,200.64112616450691,253.1027810916898
7,46.59977183095054,65.62876402583699,80.18336044343971,92.42823512492586,116.5954548238261,133.5644437904985,168.48755200178886,212.5420087406151,268.11538860162244
8,49.074537649620616,69.11409915841874,84.44164394687375,97.33680501657594,122.78746896623548,140.65762702069767,177.43539054653647,223.82943950681897,282.3541449967781
9,51.44965278492752,72.45909130376056,88.52846037335448,102.04772293633089,128.73015105628238,147.4651910820943,186.02292905041534,234.66236254514772,296.01955348389544
10,53.750924175596396,75.70008565037465,92.48821524223179,106.61217561122007,134.4880716195304,154.06110392091054,194.3434758657975,245.15848355201518,309.2600962793685
11,55.99834806504055,78.86524389710229,96.35531571753518,111.06982455492054,140.1112624695258,160.5026788462993,202.4693300183984,255.40900558647817,322.1908233150463
12,58.208057011579555,81.97728632392528,100.15752079223364,115.45266786173494,145.64008824542526,166.83615505845847,210.45882087662469,265.4875094026186,334.90455451199375
13,60.393562463799775,85.0552417723182,103.9180793645416,119.78750479049545,151.10835541089497,173.10025912286974,218.3608008448308,275.4556208477466,347.4790290338583
14,62.56658987180014,88.11562377372988,107.65716719830306,124.09759216448911,156.5454017530868,179.3285985693369,226.2176648169329,285.3668198128466,359.9817101639627
15,64.73766897213328,91.1732618770683,111.392902615308,128.4038151710817,161.97757331135432,185.55135376893583,234.06748442859077,295.2691325278863,372.47318155533253
16,66.91657370095243,94.24192120014838,115.14210344566014,132.72555990667175,167.42932506662189,191.7965388147545,241.94559862055826,305.20713800992297,385.00967830498496
17,69.11266979034458,97.33479196680426,118.92088513032076,137.0814028160238,172.92409064848763,198.0909978038291,249.88587041855513,315.2235534533309,397.6450868762949
18,71.33520813907886,100.46490267542745,122.74516551869735,141.4896925779607,178.48501636662505,204.46124569750194,257.92174765346516,325.3605722966139,410.4326330302681
19,73.59359096466434,103.64549493407692,126.63112283153815,145.96907800419302,184.13562713937068,210.93423116746507,266.08722526880956,335.6610781445082,423.42641315197505
20,75.89763203152842,106.8903899526965,130.59564343071725,150.53902418843924,189.90047760040588,217.53808246275776,274.41778620966124,346.1698316712134,436.6828914934862
21,78.25783002440338,110.21437354837938,134.65679220773512,155.220354728387,195.8058360955469,224.3028909536101,282.95138983977427,356.9347174790455,450.2624730487792
22,80.6856747132463,113.63362733257122,138.83433939600022,160.03585898796223,201.88045072593957,231.26158866250415,291.7295789207774,368.0081405195888,464.23126509726654
23,83.1940088332495,117.16623836459152,143.15038325103063,165.0110098675969,208.15645479378884,238.45098548604054,300.798788036544,379.44867663191394,478.6631593084028
24,85.79747515529735,120.83282878307527,147.63011931627182,170.1748505453369,214.67048539975139,245.91305058998728,310.2119600347296,391.3231116352431,493.64240399610924
25,88.51308943032893,124.6573627118631,152.30282627780215,175.56113088232593,221.46511698447267,253.69655458459755,320.0306175818314,403.70905453371347,509.26690059844276
26,91.36099823247295,128.66821356797988,157.20316997091635,181.20981056543297,228.5907574980646,261.8592416574941,330.32760324387056,416.6983940462246,525.6525639866416
27,94.36551093579342,132.89961744553887,162.37297908331269,187.1691059797055,236.10823046849964,270.4707874293546,341.19081073289345,430.402005462328,542.9392600230854
28,97.55654574002446,137.39370962532112,167.863733304673,193.49835832555914,244.09239304568342,279.61694355838875,352.7284132015884,444.9563459795495,561.299125382114
29,100.97171734945562,142.20346475622995,173.74015555688112,200.2721744217749,252.63735950061726,289.4055214535237,365.0764115185434,460.53297662691915,580.9485791718363
30,104.6594517385879,147.3970835338563,180.08557151334014,207.5866046819379,261.8642945579423,299.9753198276095,378.409896109664,477.3527687411681,602.1662439790505
31,108.68381107311984,153.0647878753988,187.01021175074948,215.56871309544425,271.9334856408182,311.50995390435514,392.96049208920226,495.7079104778785,625.3207064250221
32,113.13230602517544,159.329823389686,194.6646542545771,224.39207255034086,283.0638897573449,324.26024710603815,409.0446057042469,515.9975388565824,650.9154659249082
33,118.12924326955988,166.3672573164721,203.2627912075484,234.30323890119638,295.5665297455553,338.58248769818954,427.1116839480445,538.7886178199105,679.6657305389983
34,123.86011471122966,174.43832708205298,213.12379507961498,245.67012573924666,309.9055175994521,355.00833328640954,447.83239699245013,564.9271777352986,712.6387422778391
35,130.62021753140334,183.9589143155061,224.75577823676605,259.07843973697084,326.81970477258494,374.38416577800524,472.2744303050459,595.7600718942035,751.5335162950369
36,138.92375065007514,195.65319079400354,239.04351319443566,275.5480678339578,347.59564814261694,398.1837840790281,502.2969371363256,633.6325665297792,799.3085358156359
37,149.7946105920419,210.96316064701915,257.7487996541846,297.1098557837197,374.79519890131576,429.34188431480743,541.6019488951981,683.2146635663339,861.8548686248962
38,165.79386449212984,233.49570142012504,285.2784181885999,328.843547670995,414.8263023172266,475.19900687713096,599.4493377892888,756.1874149053708,953.9078124101063
39,197.68083445677607,278.40369871462667,340.1457341788939,392.08970192268316,494.6094347211556,566.5935618320889,714.7408359877732,901.6241924398958,1137.371958423823
