,D_15min,D_30min,D_45min,D_1h,D_2h,D_3h,D_6h,D_12h,D_24h
tShi,62.976233281756755,88.69254485360791,108.36203299277493,124.91009866237928,157.5703544046307,180.5027200736606,227.69878398609188,287.2352073563604,362.338625181638
tAlpha,32.09449908965462,45.200270828008854,55.22440749480663,63.65777752810956,80.30238285878795,91.98937572473817,116.0418468132496,146.38331987514994,184.658180872935
tKappa,6.67904025409847e-06,6.67904025409847e-06,6.67904025409847e-06,6.67904025409847e-06,6.67904025409847e-06,6.67904025409847e-06,6.67904025409847e-06,6.67904025409847e-06,6.67904025409847e-06
