"","D_15min","D_30min","D_45min","D_1h","D_2h","D_3h","D_6h","D_12h","D_24h"
"Shi",61.3855730994295,86.4523394266381,105.62501360982,121.755106533462,153.59042617448,175.94356379103,221.947544663305,279.980190924048,353.186638891556
"Alpha",26.400083558816,37.1805437251767,45.4261326302784,52.3631991020022,66.0546099043931,75.6680202072144,95.4529448685683,120.411035720652,151.894921034485
"Kappa",-0.158892004623571,-0.15889200462357,-0.158892004623571,-0.158892004623571,-0.158892004623571,-0.158892004623571,-0.158892004623571,-0.158892004623571,-0.158892004623571
