"","X15min","X30min","X45min","X60min","X120min","X180min","X360min","X720min","X1440min"
"1",45.9923963885497,52.5726851935642,70.1663745990054,81.7789309109684,92.3345255601953,107.230742789967,127.49147257464,107.820647195605,97.1310537207721
"2",50.970668561188,65.7990726086792,83.8248436010707,94.7982039285126,111.753491111801,130.782629985349,154.742330547669,147.508035775432,146.180524905857
"3",54.0273752435815,73.2991749204075,91.763636824563,102.539054291282,123.323706896806,144.817668162467,171.409768331877,171.895736594738,176.321181891479
"4",56.3953699046711,78.8059824183549,97.690287773476,108.40695971262,132.106891796321,155.473149766067,184.288008946583,190.798690896665,199.683265516492
"5",58.3995891609722,83.2696361227302,102.559049021993,113.287221301696,139.420111984886,164.346122328044,195.164840391374,206.804630519005,219.464941830338
"6",60.1786435352658,87.0863232096382,106.770671260536,117.554046536267,145.82041052448,172.112076948363,204.802047034126,221.017672001973,237.030783508216
"7",61.8058561937756,90.4615999845833,110.534293952636,121.403790208466,151.600230189632,179.125655082116,213.602196296138,234.021999453471,253.102781091689
"8",63.3253392137615,93.5168046231506,113.974038362312,124.95360218385,156.934138174103,185.598560645453,221.807217685017,246.16914259794,268.115388601622
"9",64.766077149743,96.3300448792556,117.170242386742,128.27973556766,161.935824096966,191.668675281859,229.575876263134,257.69013950751,282.354144996778
"10",66.1484162750882,98.9548687700883,120.178312025925,131.435117383082,166.684250930712,197.431769495656,237.019450205375,268.7472233023,296.019553483895
"11",67.4874180379768,101.42981003392,123.038390822126,134.458388332432,171.237112939831,202.957822382418,244.220157759292,279.460535357124,309.260096279368
"12",68.7947469466257,103.783702030642,125.780759958135,137.378966893078,175.638377108366,208.300166937736,251.241524375697,289.923165981856,322.190823315046
"13",70.0798080866499,106.038837643883,128.429060384294,140.220081723185,179.92280060117,213.500968431449,258.134623985647,300.210218520716,334.904554511994
"14",71.3504728892876,108.21295084351,131.00232159094,143.000689707347,184.118789495845,218.594691355832,264.94205623197,310.384594034802,347.479029033858
"15",72.613566718828,110.320515714348,133.516298622212,145.736748074595,188.250296100548,223.61040053899,271.700613507664,320.500879037471,359.981710163963
"16",73.8752133138481,112.373631522373,135.984389778863,148.44209575393,192.338134810862,228.573357180044,278.443159694881,330.6080935519,372.473181555332
"17",75.1410912534999,114.382647270775,138.418291221639,151.129090872139,196.400935350478,233.506175201323,285.200023215768,340.751739027468,385.009678304985
"18",76.416636362242,116.356617569419,140.828482441803,153.809093363488,200.455866034479,238.429698779748,292.000089995157,350.975416573061,397.645086876295
"19",77.7072122629886,118.303647128006,143.224601768285,156.492849395015,204.519211707067,243.363703733211,298.87171739039,361.322192689869,410.432633030268
"20",79.0182648199782,120.231161160277,145.615751020097,159.190815912062,208.606863679205,248.327492306969,305.843554282531,371.835838326302,423.426413151975
"21",80.3554728435094,122.146127094594,148.010756697508,161.913453166978,212.734763539603,253.340432176346,312.945333564685,382.562040328684,436.682891493486
"22",81.7249061125259,124.055245894483,150.418408416643,164.671507585034,216.919334645722,258.422480713262,320.208695389709,393.549674105425,450.262473048779
"23",83.133202064592,125.965127220113,152.847691902204,167.47630524507,221.17793220725,263.594732073838,327.668100214929,404.852228943321,464.231265097267
"24",84.5877743656552,127.882460674721,155.30803293581,170.340077015904,225.529344303545,268.880026426168,335.361899523795,416.529492689206,478.663159308403
"25",86.0970703250982,129.814195060947,157.809569982612,173.27634006922,229.994382095467,274.3036678584,343.33365061512,428.64963305029,493.642403996109
"26",87.6709005324301,131.767738882188,160.363477067187,176.300367833536,234.596609103247,279.894311654564,351.633793808041,441.291864843744,509.266900598443
"27",89.3208746204476,133.751198599497,162.982365726126,179.429793120208,239.363279346648,285.685105892555,360.321863076975,454.549978067711,525.652563986642
"28",91.0609943782593,135.77367723364,165.680807334122,182.685410295181,244.326587346754,291.715212752942,369.469487834751,468.537142135602,542.939260023086
"29",92.9084844991633,137.845666455469,168.476038209636,186.092277874143,249.525388726203,298.031902801925,379.164589030664,483.392637666595,561.299125382114
"30",94.8849915323957,139.979583559302,171.388946196796,189.681284000662,255.007646060007,304.693532315638,389.517424176066,499.291575437845,580.948579171837
"31",97.0183720636879,142.19053701425,174.445501799383,193.491446157683,260.834025708813,311.773922059539,400.669587705479,516.459396792394,602.166243979051
"32",99.3454617176029,144.497463703195,177.678916137721,197.573419518831,267.083390613687,319.369044748129,412.807923830777,535.19433547803,625.320706425023
"33",101.916556945694,146.924895977304,181.133040797061,201.995088391679,273.861563506174,327.607695098284,426.187004072422,555.903786937425,650.915465924909
"34",104.803069144597,149.505854043325,184.868010233134,206.850958059566,281.316062468323,336.669433356117,441.167438582064,579.16644593395,679.665730538999
"35",108.111504316743,152.286890075682,188.9702267442,212.278994396264,289.662553842801,346.816800162318,458.285693146123,605.84584766479,712.63874227784
"36",112.011317065789,155.337625875476,193.571551048202,218.493473956288,299.236526836972,358.458253779081,478.392841560864,637.316712415753,751.533516295038
"37",116.797372316141,158.770861119673,198.89054055532,225.856824941291,310.606487068568,372.286052354597,502.964769204331,675.972830792639,799.308535815637
"38",123.056308238075,162.792185107938,205.336617428983,235.065093033901,324.866772240958,389.632993284533,534.92525906927,726.580828067151,861.854868624898
"39",132.253733125065,167.8578699578,213.852277927757,247.775437906996,344.630976368236,413.682972938091,581.53626801521,801.063437570705,953.907812410108
"40",150.534133594242,175.531456310639,227.871777576268,270.382282885399,380.038302968212,456.792895280916,672.936582620831,949.509346157045,1137.37195842382
