"","D_15min","D_30min","D_45min","D_1h","D_2h","D_3h","D_6h","D_12h","D_24h"
"Shi",72.8516407210605,110.711882468837,133.985297786559,146.249351296107,189.024643109639,224.550498506866,272.973571086096,322.407927877632,362.338625181638
"Alpha",18.6520420519694,30.5895399035629,36.6841817387065,40.1217944133094,60.6124401653317,73.5870530169105,99.7190561587177,149.412331674352,184.658180872935
"Kappa",0.00369263741590088,0.37351146491028,0.258942104488368,0.153543778353864,0.143759666907667,0.142982822850155,0.0217989574237777,7.21531668846879e-06,6.67904025409847e-06
