"","D_15min","D_30min","D_45min","D_1h","D_2h","D_3h","D_6h","D_12h","D_24h"
"Shi",72.0288252702661,103.028985412213,127.550940601232,148.773715808851,177.18772123583,198.066633063773,241.015633372788,295.141519523636,362.338445417643
"Alpha",18.3372104348914,27.3230603398752,34.5572074000814,40.6526184019419,57.7203011059453,69.7908875475044,95.2339904189197,132.686580262782,184.65789616821
"Kappa",0.0649179207901739,0.171346512850593,0.260857585519453,0.340292316298118,0.128622377487747,0.0734096911463327,0.0140544172811398,9.95555524009443e-06,4.79496381669636e-06
