"","X15min","X30min","X45min","X60min","X120min","X180min","X360min","X720min","X1440min"
"1",45.1453715479191,50.3475843321473,64.3257242054872,76.1359504756384,87.5012360404908,105.98888508586,127.235632887896,162.441227391188,158.136046345417
"2",50.5616441509359,64.4922725401484,80.837517289089,91.6293644014379,108.384418591562,129.437503567715,154.241690744834,187.743018410018,190.937704428193
"3",53.8519054853075,72.4453881615288,90.1802361235841,100.63894667097,120.742659453592,143.445064684834,170.788417927394,203.888038191409,211.791788373578
"4",56.3824843896641,78.2516011795178,97.0298937839726,107.367127748008,130.081091478103,154.09716706246,183.588557176219,216.725151342673,228.332048487416
"5",58.5118714038419,82.9363723136334,102.575464677556,112.895765355303,137.827920854086,162.979077094213,194.409765057536,227.820674330925,242.599729352638
"6",60.3925247247068,86.9262367202247,107.312408924195,117.679261111617,144.586028291237,170.761767086012,204.005625196203,237.850278984094,255.474417149322
"7",62.1048707894873,90.442055946874,111.497657564843,121.954779859632,150.671397190174,177.797716422793,212.774552527339,247.175249117019,267.425914418077
"8",63.6971546891607,93.6139686252531,115.282804450333,125.863090466149,156.27233854358,184.297463768589,220.956096580838,256.015573298683,278.7399217626
"9",65.2009702358121,96.5255997462775,118.765388745846,129.4953161095,161.511274538924,190.398221794221,228.707548754054,264.517928656859,289.606625932423
"10",66.6384048609924,99.234173347936,122.012247513653,132.914308732084,166.473057603379,196.195369576994,236.139229756059,272.787179434248,300.161722761176
"11",68.0257263266094,101.780783626852,125.071451355591,136.165613272954,171.219530796292,201.758665093214,243.332719620975,280.902751107874,310.50772944967
"12",69.3754546364739,104.196106697641,127.978947083721,139.283591252267,175.797679187732,207.141333613737,250.351116984533,288.927917056934,320.726062151525
"13",70.6976076189412,106.503793359178,130.762506648338,142.295074840357,180.244507133454,212.385514283235,257.245217769354,296.915453236059,330.884381192309
"14",72.0004930689218,108.722594064289,133.444202695055,145.221667793711,184.590120052605,217.525708902593,264.057454684901,304.911304000393,341.04134392954
"15",73.2912383302886,110.867749839663,136.042030780586,148.081262007013,188.859765372255,222.591072862738,270.824541150008,312.957106178553,351.249867795754
"16",74.5761616343453,112.951938027355,138.571014032754,150.889078620993,193.07524345983,227.607006069329,277.579336091277,321.092039519105,361.559512149352
"17",75.8610455607335,114.985937727555,141.043982058518,153.658410834231,197.255924839758,232.596307712204,284.352229236153,329.354279867559,372.018337497199
"18",77.1513495127752,116.979113461462,143.472138828118,156.401174992253,201.419516572385,237.580054953191,291.172230846901,337.782230346073,382.674468625954
"19",78.4523851119176,118.939778401696,145.865491096585,159.128337075621,205.582668593447,242.578307873858,298.067886089796,346.415651949641,393.577517514262
"20",79.7694711422238,120.875476925004,148.233183871368,161.850258968292,209.761481030931,247.610710208108,305.068098894174,355.296787822202,404.779985796156
"21",81.1080807432246,122.793213370819,150.583774540455,164.576995613445,213.971956489538,252.697036915843,312.202931594855,364.471565270621,416.338752187048
"22",82.4739917731794,124.699646141841,152.925468370086,167.318566593829,218.230432117807,257.8577301476,319.504439142323,373.990962140913,428.316752073369
"23",83.8734511060315,126.601261724186,155.266332931722,170.085221850939,222.554022486047,263.114461972913,327.00759774305,383.91263879684,440.784973212719
"24",85.3133649577827,128.50454080191,157.614506448175,172.887720248787,226.9611048771,268.490764425693,334.751397149395,394.302965713428,453.824925531702
"25",86.8015303805971,130.41612789829,159.978414521216,175.737641237953,231.471883530493,274.012775242563,342.780185054176,405.239624983758,467.531800648133
"26",88.3469284348974,132.343016776345,162.367011144827,178.647754311684,236.10907969008,279.710162723152,351.145385089175,416.815041988202,482.018630064042
"27",89.9601084679678,134.292766406242,164.790063697822,181.632479287458,240.898812316924,285.617318822355,359.907764295113,429.141029358834,497.42190177606
"28",91.6537076382806,136.273767333889,167.258508722349,184.708484768823,245.87176452118,291.774952300184,369.14051540114,442.355232252776,513.909342799825
"29",93.4431744941588,138.295587153513,169.784917687925,187.895496380421,251.064781515892,298.232285435852,378.933569361174,456.630313311851,531.690993156327
"30",95.3478080022334,140.369439200552,172.38413339686,191.21742803723,256.523133165789,305.050181205372,389.399813198094,472.187426281887,551.035426751162
"31",97.3922997868688,142.508845870036,175.074175659639,194.704023434231,262.303829602281,312.305748059959,400.68435490626,489.316639284746,572.294302229056
"32",99.6091107961464,144.730618077109,177.877584684865,198.39333183066,268.480667708961,320.099380781426,412.978856526223,508.409095321499,595.940962380449
"33",102.042298646449,147.056369113255,180.823505682582,202.335609603972,275.15225526196,328.566007775691,426.544709781582,530.010008538289,622.633932784095
"34",104.754018252043,149.514980106868,183.951096667364,206.599796940107,282.455455787512,337.89402931578,441.752572870458,554.910973574418,653.327316800153
"35",107.83632211127,152.146877377815,187.315463563958,211.284982336372,290.589430066888,348.359365887904,459.154493286795,584.32233586953,689.476501581769
"36",111.434506911759,155.012074562626,190.998866310033,216.542443593848,299.862390978968,360.392083795581,479.627408595755,620.225506822546,733.457583966051
"37",115.799031540678,158.207017059716,195.134304925069,222.623028571529,310.79348111638,374.722634126371,504.694406732416,666.187351082701,789.53407249135
"38",121.422364851909,161.905808035325,199.963591448253,229.996893256592,324.374593296586,392.761103431022,537.378608932357,729.612861144184,866.521199537425
"39",129.515223501468,166.490002504622,206.021654516,239.747101184183,342.950787338656,417.888267037407,585.208562616894,830.116101004626,987.637705410604
"40",145.014279995293,173.240087174311,215.131741556255,255.824778530449,375.46331485192,463.306973353019,679.572611042039,1058.75264494408,1259.61791876664
