"","D_15min","D_30min","D_45min","D_1h","D_2h","D_3h","D_6h","D_12h","D_24h"
"1",27.4848218014609,38.7082342558213,47.2926215438359,54.51472125331,68.7686907635183,78.7771010963384,99.3749574425561,125.358537306838,158.136046345417
"2",33.1859111358198,46.7373604063136,57.1023798979214,65.8225368232212,83.0331619790049,95.1175850949712,119.987989394177,151.361260743555,190.937704428192
"3",36.8104533848377,51.8419825668127,63.3390623145175,73.0116287446959,92.1019864699379,105.506261915996,133.092994562002,167.892832897302,211.791788373577
"4",39.6852318574553,55.8906753091378,68.28564014973,78.7136030282416,99.2948565283696,113.745962940906,143.487131021638,181.004725235981,228.332048487416
"5",42.1650248911332,59.3830905173185,72.5525738885012,83.6321441406189,105.499449067567,120.853555193939,152.453146117831,192.315085178319,242.599729352637
"6",44.402708885511,62.5345315879778,76.4029151075657,88.0704745066543,111.098270109502,127.267213594932,160.543784409667,202.52118345745,255.474417149322
"7",46.4799378303581,65.4599958744459,79.977164308022,92.1905505881237,116.295622887886,133.220975120858,168.054276545427,211.995444708204,267.425914418077
"8",48.4463678942879,68.2294166155416,83.3607639353955,96.0908628249512,121.215750147626,138.857164471623,175.164160878255,220.964351194523,278.7399217626
"9",50.3350544687858,70.8893473543905,86.6105917868502,99.83697487499,125.941358482622,144.270525136403,181.99295348673,229.578668875765,289.606625932422
"10",52.1695821564312,73.4730034535686,89.7672294492741,103.475665576567,130.531457998643,149.528655393082,188.625927577079,237.945967351752,300.161722761175
"11",53.9677689504078,76.0054788743578,92.8613360120512,107.042275996788,135.030630395076,154.682625241693,195.127506427253,246.147514661234,310.50772944967
"12",55.7437653782244,78.5067025046953,95.9172600246083,110.564872974446,139.474281149804,159.772992978166,201.548853114792,254.247851496652,320.726062151525
"13",57.5093311368908,80.9932361076485,98.9552361788115,114.066781259803,143.891833737827,164.833464290929,207.932486357784,262.300613949479,330.884381192309
"14",59.2746611633359,83.4794377172526,101.992806712967,117.568221982502,148.308796509538,169.8932599471,214.315267280188,270.352301225372,341.04134392954
"15",61.0489527673259,85.9782603598549,105.045797266882,121.087437530352,152.748181691675,174.978741311016,220.730449954861,278.444862342874,351.249867795754
"16",62.8408196088437,88.5018350789394,108.129029205041,124.641512652033,157.231541183829,180.114596887782,227.209178192753,286.617584288241,361.559512149351
"17",64.6586148401111,91.0619260320223,111.256875641067,128.247015392562,161.779775079374,185.324768514158,233.781653905034,294.908565869315,372.018337497199
"18",66.5107027854938,93.6703131109025,114.443728912287,131.92053595633,166.413811425067,190.633230048552,240.478119397217,303.355956850197,382.674468625953
"19",68.4057062506316,96.339140239345,117.704426119946,135.67917723195,171.155225003486,196.064696209382,247.329751547568,311.99908593057,393.577517514261
"20",70.3527502774681,99.0812586653477,121.054668553952,139.541038267748,176.026847222894,201.645321226677,254.369543135207,320.879572514742,404.779985796156
"21",72.3617206661955,101.910591050386,124.511466526781,143.525727036653,181.053412954825,207.40343981866,261.633237559907,330.042505832732,416.338752187047
"22",74.4435558961871,104.842542596102,128.09364167639,147.654939446256,186.262290937956,213.370403896638,269.160384320299,339.537776394454,428.316752073369
"23",76.6105939884871,107.894489547913,131.822423806052,151.953147322603,191.684351649087,219.581576743597,276.995593140436,349.421658032882,440.784973212719
"24",78.8770017688103,111.086383747325,135.722189509213,156.448449831135,197.355041345201,226.077563369443,285.190086026147,359.75876577673,453.824925531702
"25",81.2593240080238,114.441526013645,139.821407065304,161.173662668403,203.315756046244,232.90578445955,293.803682754059,370.624560485484,467.531800648133
"26",83.7772061365216,117.987583978381,144.153880000919,166.167751528621,209.615649810316,240.122547821458,302.907413939667,382.108645156636,482.018630064042
"27",86.4543704387045,121.757966908232,148.760426809495,171.47776833488,216.314077231452,247.79584635721,312.58705059578,394.319217358123,497.42190177606
"28",89.3199686939591,125.793730696287,153.691208415481,177.161534132513,223.483977829375,256.009235008094,322.947994782373,407.389238636873,513.909342799825
"29",92.4105068898921,130.146288530894,159.00903999259,183.291456658154,231.216691798714,264.86734737505,334.122238658282,421.485213154433,531.690993156327
"30",95.7726644908409,134.881381410979,164.79424202668,189.960122212888,239.629013989778,274.503976316836,346.278557914159,436.820046397834,551.035426751162
"31",99.4675614970116,140.085087656526,171.151982565023,197.288759153164,248.873870349257,285.094304211201,359.637939881239,453.672507277474,572.294302229056
"32",103.577467210989,145.873271196341,178.223820866031,205.440544381873,259.15710366084,296.874131647054,374.497839951527,472.417826875863,595.940962380449
"33",108.216836613796,152.407124642449,186.206697486223,214.642493428955,270.765087227335,310.171509927629,391.272085034673,493.578035465286,622.633932784095
"34",113.551497557086,159.920191562071,195.385949324861,225.223517253854,284.112732388993,325.46173547393,410.560247353473,517.909475476412,653.327316800152
"35",119.834403478615,168.76871879556,206.196828656325,237.685335905876,299.832943985597,343.469824394221,433.276913049095,546.565869978394,689.476501581768
"36",127.4785316828,179.534322711297,219.349937845262,252.847068489988,318.959016274789,365.379453813848,460.915255420884,581.430812439534,733.457583966051
"37",137.224900900878,193.260616647721,236.120334036536,272.178487299737,343.345023055792,393.314534447115,496.15452432582,625.884096439568,789.53407249135
"38",150.605641831038,212.105376063755,259.144326018632,298.718494262113,376.82444824035,431.666465145938,544.534338104123,686.913784869181,866.521199537425
"39",171.656285615749,241.752039110743,295.365777151036,340.47135649334,429.494435452231,492.00190066559,620.645685863812,782.925974188828,987.637705410603
"40",218.927782977493,308.326827432804,376.704963218473,434.231924435792,547.77058828599,627.491646734945,791.561949120047,998.531729553678,1259.61791876664
