"","D_15min","D_30min","D_45min","D_1h","D_2h","D_3h","D_6h","D_12h","D_24h"
"Shi",73.5340365137246,111.265465808738,136.524240802753,148.614785532314,189.658983089664,223.540911037992,272.09952496339,314.484615347309,353.186638891556
"Alpha",19.0161085912889,31.0780022724763,37.6874906744169,41.7317331216467,62.5465693500382,74.3548537527936,99.8830005464907,119.810887308239,151.894921034485
"Kappa",0.0535516599339748,0.412787773491471,0.383614638635,0.256749670355847,0.175410226069719,0.131654616313544,0.0136159468940659,-0.176036784850617,-0.158892004623571
