"","D_15min","D_30min","D_45min","D_1h","D_2h","D_3h","D_6h","D_12h","D_24h"
"tShi",62.9762332817568,88.6925448536079,108.362032992775,124.910098662379,157.570354404631,180.502720073661,227.698783986092,287.23520735636,362.338625181638
"tAlpha",32.0944990896546,45.2002708280089,55.2244074948066,63.6577775281096,80.302382858788,91.9893757247382,116.04184681325,146.38331987515,184.658180872935
"tKappa",6.67904025409847e-06,6.67904025409847e-06,6.67904025409847e-06,6.67904025409847e-06,6.67904025409847e-06,6.67904025409847e-06,6.67904025409847e-06,6.67904025409847e-06,6.67904025409847e-06
